Payroll,Revenue,
16454258,1808860,"{Payroll:16454258,Revenue:1808860},"
16454258,1808860,"{Payroll:16454258,Revenue:1808860},"
18823573,1808309,"{Payroll:18823573,Revenue:1808309},"
11233740,1803622,"{Payroll:11233740,Revenue:1803622},"
6767603,1799589,"{Payroll:6767603,Revenue:1799589},"
5316453,1798534,"{Payroll:5316453,Revenue:1798534},"
5316453,1798534,"{Payroll:5316453,Revenue:1798534},"
6617020,1796691,"{Payroll:6617020,Revenue:1796691},"
13696477,1794285,"{Payroll:13696477,Revenue:1794285},"
24044883,1782876,"{Payroll:24044883,Revenue:1782876},"
24044883,1782876,"{Payroll:24044883,Revenue:1782876},"
24044883,1782876,"{Payroll:24044883,Revenue:1782876},"
7335359,1777918,"{Payroll:7335359,Revenue:1777918},"
16882647,1764745,"{Payroll:16882647,Revenue:1764745},"
45757429,1744939,"{Payroll:45757429,Revenue:1744939},"
6845762,1742488,"{Payroll:6845762,Revenue:1742488},"
7507405,1740837,"{Payroll:7507405,Revenue:1740837},"
4469250,1738054,"{Payroll:4469250,Revenue:1738054},"
10397606,1729071,"{Payroll:10397606,Revenue:1729071},"
16651032,1728846,"{Payroll:16651032,Revenue:1728846},"
16425985,1727415,"{Payroll:16425985,Revenue:1727415},"
14525603,1714008,"{Payroll:14525603,Revenue:1714008},"
8566026,1709973,"{Payroll:8566026,Revenue:1709973},"
8858014,1703276,"{Payroll:8858014,Revenue:1703276},"
5856670,1701190,"{Payroll:5856670,Revenue:1701190},"
14854156,1700534,"{Payroll:14854156,Revenue:1700534},"
7028207,1694973,"{Payroll:7028207,Revenue:1694973},"
9329704,1693206,"{Payroll:9329704,Revenue:1693206},"
8959123,1683627,"{Payroll:8959123,Revenue:1683627},"
10741547,1682978,"{Payroll:10741547,Revenue:1682978},"
10741547,1682978,"{Payroll:10741547,Revenue:1682978},"
8728321,1682757,"{Payroll:8728321,Revenue:1682757},"
8104306,1675910,"{Payroll:8104306,Revenue:1675910},"
8813422,1669908,"{Payroll:8813422,Revenue:1669908},"
8873734,1666227,"{Payroll:8873734,Revenue:1666227},"
80544468,1657384,"{Payroll:80544468,Revenue:1657384},"
80544468,1657384,"{Payroll:80544468,Revenue:1657384},"
13830131,1652588,"{Payroll:13830131,Revenue:1652588},"
80135073,1648260,"{Payroll:80135073,Revenue:1648260},"
80135073,1648260,"{Payroll:80135073,Revenue:1648260},"
16233668,1638223,"{Payroll:16233668,Revenue:1638223},"
4555946,1634848,"{Payroll:4555946,Revenue:1634848},"
7286827,1633963,"{Payroll:7286827,Revenue:1633963},"
4689214,1630893,"{Payroll:4689214,Revenue:1630893},"
4689214,1630893,"{Payroll:4689214,Revenue:1630893},"
5368445,1624196,"{Payroll:5368445,Revenue:1624196},"
5368445,1624196,"{Payroll:5368445,Revenue:1624196},"
44103563,1622814,"{Payroll:44103563,Revenue:1622814},"
5363867,1622742,"{Payroll:5363867,Revenue:1622742},"
21599102,1622291,"{Payroll:21599102,Revenue:1622291},"
6983749,1619549,"{Payroll:6983749,Revenue:1619549},"
4183469,1613659,"{Payroll:4183469,Revenue:1613659},"
4183469,1613659,"{Payroll:4183469,Revenue:1613659},"
5975865,1612461,"{Payroll:5975865,Revenue:1612461},"
1929395,1606835,"{Payroll:1929395,Revenue:1606835},"
1929395,1606835,"{Payroll:1929395,Revenue:1606835},"
13821623,1603454,"{Payroll:13821623,Revenue:1603454},"
36034510,1601298,"{Payroll:36034510,Revenue:1601298},"
36034510,1601298,"{Payroll:36034510,Revenue:1601298},"
5534118,1600219,"{Payroll:5534118,Revenue:1600219},"
14501516,1597971,"{Payroll:14501516,Revenue:1597971},"
9884881,1596088,"{Payroll:9884881,Revenue:1596088},"
9884881,1596088,"{Payroll:9884881,Revenue:1596088},"
9315494,1594251,"{Payroll:9315494,Revenue:1594251},"
9946541,1589925,"{Payroll:9946541,Revenue:1589925},"
7004659,1586290,"{Payroll:7004659,Revenue:1586290},"
7004659,1586290,"{Payroll:7004659,Revenue:1586290},"
8634810,1585310,"{Payroll:8634810,Revenue:1585310},"
17514113,1584914,"{Payroll:17514113,Revenue:1584914},"
7722217,1581629,"{Payroll:7722217,Revenue:1581629},"
11712682,1577748,"{Payroll:11712682,Revenue:1577748},"
11427617,1576511,"{Payroll:11427617,Revenue:1576511},"
18583887,1572096,"{Payroll:18583887,Revenue:1572096},"
18583887,1572096,"{Payroll:18583887,Revenue:1572096},"
18583887,1572096,"{Payroll:18583887,Revenue:1572096},"
18583887,1572096,"{Payroll:18583887,Revenue:1572096},"
5314836,1569732,"{Payroll:5314836,Revenue:1569732},"
8482453,1569552,"{Payroll:8482453,Revenue:1569552},"
18311468,1564786,"{Payroll:18311468,Revenue:1564786},"
7938958,1564321,"{Payroll:7938958,Revenue:1564321},"
15187885,1563665,"{Payroll:15187885,Revenue:1563665},"
15187885,1563665,"{Payroll:15187885,Revenue:1563665},"
4144726,1563519,"{Payroll:4144726,Revenue:1563519},"
7744581,1559814,"{Payroll:7744581,Revenue:1559814},"
8348875,1557241,"{Payroll:8348875,Revenue:1557241},"
13574783,1556522,"{Payroll:13574783,Revenue:1556522},"
13574783,1556522,"{Payroll:13574783,Revenue:1556522},"
5495374,1553856,"{Payroll:5495374,Revenue:1553856},"
4113025,1551079,"{Payroll:4113025,Revenue:1551079},"
